GEOID,Y_CntEst,Y_CntMOE,Y_UniEst,Y_UniMoe,Y_PctEst,Y_PctMOE,Y_Pctile,Y_Score,OA_UniEst,OA_UniMoe,OA_PctEst,OA_PctMOE,OA_CntEst,OA_CntMOE,OA_Pctile,OA_Score,F_CntEst,F_CntMOE,F_UniEst,F_UniMoe,F_PctEst,F_PctMOE,F_Pctile,F_Score,RM_CntEst,RM_CntMOE,RM_UniEst,RM_UniMoe,RM_PctEst,RM_PctMOE,RM_Pctile,RM_Score,EM_CntEst,EM_CntMOE,EM_UniEst,EM_UniMoe,EM_PctEst,EM_PctMOE,EM_Pctile,EM_Score,FB_CntEst,FB_CntMOE,FB_UniEst,FB_UniMoe,FB_PctEst,FB_PctMOE,FB_Pctile,FB_Score,LEP_CntEst,LEP_CntMOE,LEP_UniEst,LEP_UniMoe,LEP_PctEst,LEP_PctMOE,LEP_Pctile,LEP_Score,D_CntEst,D_CntMOE,D_UniEst,D_UniMoe,D_PctEst,D_PctMOE,D_Pctile,D_Score,LI_CntEst,LI_CntMOE,LI_UniEst,LI_UniMoe,LI_PctEst,LI_PctMOE,LI_Pctile,LI_Score,IPD_Score
34005700102,492,82,2712,179,0.181,0.03,0.22,1,2712,179,0.184,0.026,500,84,0.81,3,1403,148,2712,179,0.517,0.037,0.5,2,424,213,2712,179,0.156,0.079,0.39,1,144,149,2712,179,0.053,0.055,0.56,2,149,97,2712,179,0.055,0.036,0.31,1,105,74,2522,172,0.042,0.029,0.58,2,274,82,2712,179,0.101,0.028,0.38,2,535,198,2703,175,0.198,0.073,0.44,2,16
34005700103,342,98,2719,212,0.126,0.036,0.07,1,2719,212,0.164,0.027,447,65,0.69,2,1474,144,2719,212,0.542,0.036,0.76,3,366,146,2719,212,0.135,0.054,0.35,1,141,138,2719,212,0.052,0.051,0.55,2,183,63,2719,212,0.067,0.023,0.42,2,87,44,2580,192,0.034,0.018,0.49,2,291,107,2719,212,0.107,0.038,0.43,2,452,119,2719,212,0.166,0.044,0.37,1,16
34005700104,416,111,1925,165,0.216,0.058,0.46,2,1925,165,0.128,0.024,247,39,0.43,2,1030,106,1925,165,0.535,0.043,0.71,2,926,200,1925,165,0.481,0.104,0.74,3,237,133,1925,165,0.123,0.069,0.82,2,110,70,1925,165,0.057,0.036,0.33,1,92,67,1876,157,0.049,0.035,0.63,2,291,73,1925,165,0.151,0.04,0.72,2,539,166,1918,164,0.281,0.087,0.61,2,18
34005700200,569,54,2766,16,0.206,0.02,0.38,2,2766,16,0.184,0.036,509,100,0.81,3,1477,82,2766,16,0.534,0.03,0.7,2,150,70,2766,16,0.054,0.025,0.11,1,163,94,2766,16,0.059,0.034,0.61,2,105,42,2766,16,0.038,0.015,0.18,1,23,21,2600,65,0.009,0.008,0.12,1,266,56,2659,96,0.1,0.021,0.37,2,358,131,2669,93,0.134,0.049,0.28,1,15
34005700303,707,107,3602,286,0.196,0.03,0.31,2,3602,286,0.193,0.038,694,131,0.84,3,1950,189,3602,286,0.541,0.043,0.75,3,865,238,3602,286,0.24,0.066,0.54,2,299,147,3602,286,0.083,0.041,0.73,2,199,106,3602,286,0.055,0.029,0.31,1,79,54,3264,279,0.024,0.016,0.36,1,377,131,3477,274,0.108,0.037,0.44,2,805,268,3490,271,0.231,0.077,0.52,2,18
34005700304,541,53,2439,121,0.222,0.022,0.51,2,2439,121,0.159,0.017,388,42,0.66,2,1182,113,2439,121,0.485,0.036,0.17,1,199,101,2439,121,0.082,0.041,0.2,1,172,87,2439,121,0.071,0.036,0.68,2,59,49,2439,121,0.024,0.02,0.08,1,21,22,2285,129,0.009,0.01,0.12,1,320,89,2439,121,0.131,0.034,0.6,2,554,170,2427,122,0.228,0.07,0.51,2,14
34005700305,1002,103,5134,199,0.195,0.02,0.3,2,5134,199,0.213,0.014,1093,76,0.88,3,2462,140,5134,199,0.48,0.028,0.13,1,367,160,5134,199,0.071,0.031,0.17,1,269,182,5134,199,0.052,0.035,0.55,2,257,110,5134,199,0.05,0.021,0.27,1,123,90,4904,189,0.025,0.019,0.37,2,396,122,5110,195,0.077,0.024,0.19,1,514,194,5120,198,0.1,0.038,0.15,1,14
34005700306,504,66,2529,122,0.199,0.026,0.33,2,2529,122,0.175,0.013,442,30,0.76,2,1261,101,2529,122,0.499,0.029,0.3,2,111,65,2529,122,0.044,0.026,0.08,1,141,76,2529,122,0.056,0.03,0.59,2,97,77,2529,122,0.038,0.03,0.18,1,86,60,2457,125,0.035,0.024,0.51,2,315,68,2529,122,0.125,0.026,0.56,2,199,94,2523,123,0.079,0.037,0.09,1,15
34005700307,605,43,2737,107,0.221,0.016,0.5,2,2737,107,0.171,0.019,469,55,0.73,2,1450,86,2737,107,0.53,0.025,0.65,2,260,115,2737,107,0.095,0.042,0.24,1,53,65,2737,107,0.019,0.024,0.21,1,288,103,2737,107,0.105,0.038,0.64,2,106,71,2600,110,0.041,0.027,0.57,2,205,63,2737,107,0.075,0.023,0.18,1,197,108,2737,107,0.072,0.039,0.07,1,14
34005700401,410,65,2085,165,0.197,0.031,0.32,2,2085,165,0.177,0.019,370,39,0.77,2,1104,101,2085,165,0.529,0.031,0.64,2,167,100,2085,165,0.08,0.048,0.2,1,111,84,2085,165,0.053,0.04,0.56,2,97,73,2085,165,0.047,0.035,0.25,1,57,60,1968,158,0.029,0.03,0.43,2,218,57,2085,165,0.105,0.026,0.41,2,328,108,2085,165,0.157,0.052,0.34,1,15
