GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01
1400000US34005700102,34005700102,"Census Tract 7001.02, Burlington County, New Jersey",2761
1400000US34005700103,34005700103,"Census Tract 7001.03, Burlington County, New Jersey",2583
1400000US34005700104,34005700104,"Census Tract 7001.04, Burlington County, New Jersey",1955
1400000US34005700200,34005700200,"Census Tract 7002, Burlington County, New Jersey",2736
1400000US34005700303,34005700303,"Census Tract 7003.03, Burlington County, New Jersey",3642
1400000US34005700304,34005700304,"Census Tract 7003.04, Burlington County, New Jersey",2501
1400000US34005700305,34005700305,"Census Tract 7003.05, Burlington County, New Jersey",5164
1400000US34005700306,34005700306,"Census Tract 7003.06, Burlington County, New Jersey",2470
1400000US34005700307,34005700307,"Census Tract 7003.07, Burlington County, New Jersey",2754
1400000US34005700401,34005700401,"Census Tract 7004.01, Burlington County, New Jersey",2130
1400000US34005700402,34005700402,"Census Tract 7004.02, Burlington County, New Jersey",3223
1400000US34005700403,34005700403,"Census Tract 7004.03, Burlington County, New Jersey",4522
1400000US34005700405,34005700405,"Census Tract 7004.05, Burlington County, New Jersey",1912
1400000US34005700407,34005700407,"Census Tract 7004.07, Burlington County, New Jersey",5280
1400000US34005700408,34005700408,"Census Tract 7004.08, Burlington County, New Jersey",1936
1400000US34005700501,34005700501,"Census Tract 7005.01, Burlington County, New Jersey",5659
1400000US34005700502,34005700502,"Census Tract 7005.02, Burlington County, New Jersey",2280
1400000US34005700503,34005700503,"Census Tract 7005.03, Burlington County, New Jersey",3671
1400000US34005700504,34005700504,"Census Tract 7005.04, Burlington County, New Jersey",2977
1400000US34005700505,34005700505,"Census Tract 7005.05, Burlington County, New Jersey",6028
1400000US34005700602,34005700602,"Census Tract 7006.02, Burlington County, New Jersey",6222
1400000US34005700603,34005700603,"Census Tract 7006.03, Burlington County, New Jersey",5962
1400000US34005700605,34005700605,"Census Tract 7006.05, Burlington County, New Jersey",4626
1400000US34005700701,34005700701,"Census Tract 7007.01, Burlington County, New Jersey",3095
1400000US34005700702,34005700702,"Census Tract 7007.02, Burlington County, New Jersey",2791
1400000US34005700703,34005700703,"Census Tract 7007.03, Burlington County, New Jersey",2119
1400000US34005700800,34005700800,"Census Tract 7008, Burlington County, New Jersey",4513
1400000US34005700900,34005700900,"Census Tract 7009, Burlington County, New Jersey",2538
1400000US34005701001,34005701001,"Census Tract 7010.01, Burlington County, New Jersey",4988
1400000US34005701002,34005701002,"Census Tract 7010.02, Burlington County, New Jersey",3847
1400000US34005701102,34005701102,"Census Tract 7011.02, Burlington County, New Jersey",5462
1400000US34005701103,34005701103,"Census Tract 7011.03, Burlington County, New Jersey",6312
1400000US34005701104,34005701104,"Census Tract 7011.04, Burlington County, New Jersey",4538
1400000US34005701105,34005701105,"Census Tract 7011.05, Burlington County, New Jersey",6348
1400000US34005701201,34005701201,"Census Tract 7012.01, Burlington County, New Jersey",3268
1400000US34005701203,34005701203,"Census Tract 7012.03, Burlington County, New Jersey",1866
1400000US34005701204,34005701204,"Census Tract 7012.04, Burlington County, New Jersey",2516
1400000US34005701205,34005701205,"Census Tract 7012.05, Burlington County, New Jersey",2200
1400000US34005701301,34005701301,"Census Tract 7013.01, Burlington County, New Jersey",4366
1400000US34005701302,34005701302,"Census Tract 7013.02, Burlington County, New Jersey",2835
1400000US34005701303,34005701303,"Census Tract 7013.03, Burlington County, New Jersey",5437
1400000US34005701401,34005701401,"Census Tract 7014.01, Burlington County, New Jersey",6478
1400000US34005701402,34005701402,"Census Tract 7014.02, Burlington County, New Jersey",2117
1400000US34005701502,34005701502,"Census Tract 7015.02, Burlington County, New Jersey",4117
1400000US34005701700,34005701700,"Census Tract 7017, Burlington County, New Jersey",3874
1400000US34005702101,34005702101,"Census Tract 7021.01, Burlington County, New Jersey",4114
1400000US34005702203,34005702203,"Census Tract 7022.03, Burlington County, New Jersey",3371
1400000US34005702204,34005702204,"Census Tract 7022.04, Burlington County, New Jersey",2314
1400000US34005702206,34005702206,"Census Tract 7022.06, Burlington County, New Jersey",2074
1400000US34005702207,34005702207,"Census Tract 7022.07, Burlington County, New Jersey",3111
1400000US34005702208,34005702208,"Census Tract 7022.08, Burlington County, New Jersey",6900
1400000US34005702209,34005702209,"Census Tract 7022.09, Burlington County, New Jersey",3337
1400000US34005702210,34005702210,"Census Tract 7022.10, Burlington County, New Jersey",4561
1400000US34005702300,34005702300,"Census Tract 7023, Burlington County, New Jersey",1511
1400000US34005702400,34005702400,"Census Tract 7024, Burlington County, New Jersey",3363
1400000US34005702500,34005702500,"Census Tract 7025, Burlington County, New Jersey",6036
1400000US34005702601,34005702601,"Census Tract 7026.01, Burlington County, New Jersey",4199
1400000US34005702603,34005702603,"Census Tract 7026.03, Burlington County, New Jersey",2722
1400000US34005702700,34005702700,"Census Tract 7027, Burlington County, New Jersey",8759
1400000US34005702801,34005702801,"Census Tract 7028.01, Burlington County, New Jersey",2079
1400000US34005702802,34005702802,"Census Tract 7028.02, Burlington County, New Jersey",3456
1400000US34005702803,34005702803,"Census Tract 7028.03, Burlington County, New Jersey",3833
1400000US34005702804,34005702804,"Census Tract 7028.04, Burlington County, New Jersey",2621
1400000US34005702805,34005702805,"Census Tract 7028.05, Burlington County, New Jersey",4100
1400000US34005702806,34005702806,"Census Tract 7028.06, Burlington County, New Jersey",3485
1400000US34005702807,34005702807,"Census Tract 7028.07, Burlington County, New Jersey",3219
1400000US34005702808,34005702808,"Census Tract 7028.08, Burlington County, New Jersey",3204
1400000US34005702809,34005702809,"Census Tract 7028.09, Burlington County, New Jersey",1859
1400000US34005702810,34005702810,"Census Tract 7028.10, Burlington County, New Jersey",1175
1400000US34005702811,34005702811,"Census Tract 7028.11, Burlington County, New Jersey",2431
1400000US34005702905,34005702905,"Census Tract 7029.05, Burlington County, New Jersey",4165
1400000US34005702906,34005702906,"Census Tract 7029.06, Burlington County, New Jersey",2097
1400000US34005702907,34005702907,"Census Tract 7029.07, Burlington County, New Jersey",2751
1400000US34005702908,34005702908,"Census Tract 7029.08, Burlington County, New Jersey",4080
1400000US34005702909,34005702909,"Census Tract 7029.09, Burlington County, New Jersey",6177
1400000US34005702910,34005702910,"Census Tract 7029.10, Burlington County, New Jersey",5454
1400000US34005702913,34005702913,"Census Tract 7029.13, Burlington County, New Jersey",4617
1400000US34005702914,34005702914,"Census Tract 7029.14, Burlington County, New Jersey",4462
1400000US34005702915,34005702915,"Census Tract 7029.15, Burlington County, New Jersey",4478
1400000US34005702917,34005702917,"Census Tract 7029.17, Burlington County, New Jersey",1853
1400000US34005702918,34005702918,"Census Tract 7029.18, Burlington County, New Jersey",1715
1400000US34005703000,34005703000,"Census Tract 7030, Burlington County, New Jersey",6105
1400000US34005703102,34005703102,"Census Tract 7031.02, Burlington County, New Jersey",2738
1400000US34005703103,34005703103,"Census Tract 7031.03, Burlington County, New Jersey",4674
1400000US34005703104,34005703104,"Census Tract 7031.04, Burlington County, New Jersey",5015
1400000US34005703201,34005703201,"Census Tract 7032.01, Burlington County, New Jersey",3752
1400000US34005703202,34005703202,"Census Tract 7032.02, Burlington County, New Jersey",2756
1400000US34005703203,34005703203,"Census Tract 7032.03, Burlington County, New Jersey",3828
1400000US34005703600,34005703600,"Census Tract 7036, Burlington County, New Jersey",6945
1400000US34005703700,34005703700,"Census Tract 7037, Burlington County, New Jersey",6488
1400000US34005703801,34005703801,"Census Tract 7038.01, Burlington County, New Jersey",6935
1400000US34005703802,34005703802,"Census Tract 7038.02, Burlington County, New Jersey",4088
1400000US34005703803,34005703803,"Census Tract 7038.03, Burlington County, New Jersey",4872
1400000US34005703804,34005703804,"Census Tract 7038.04, Burlington County, New Jersey",7420
1400000US34005703900,34005703900,"Census Tract 7039, Burlington County, New Jersey",4081
1400000US34005704004,34005704004,"Census Tract 7040.04, Burlington County, New Jersey",3755
1400000US34005704005,34005704005,"Census Tract 7040.05, Burlington County, New Jersey",3895
1400000US34005704006,34005704006,"Census Tract 7040.06, Burlington County, New Jersey",2307
1400000US34005704007,34005704007,"Census Tract 7040.07, Burlington County, New Jersey",3753
1400000US34005704008,34005704008,"Census Tract 7040.08, Burlington County, New Jersey",5361
