GEOID,RM_CntMOE_n,RM_CntMOE
34005700102,225,225
34005700103,179,179
34005700104,222,222
34005700200,97,97
34005700303,280,280
34005700304,122,122
34005700305,142,142
34005700306,67,67
34005700307,105,105
34005700401,107,107
34005700402,102,102
34005700403,191,191
34005700405,182,182
34005700407,463,463
34005700408,237,237
34005700501,381,381
34005700502,102,102
34005700503,177,177
34005700504,125,125
34005700505,252,252
34005700602,340,340
34005700603,511,511
34005700605,261,261
34005700701,306,306
34005700702,343,343
34005700703,231,231
34005700800,197,197
34005700900,186,186
34005701001,456,456
34005701002,298,298
34005701102,306,306
34005701103,319,319
34005701104,465,465
34005701105,465,465
34005701201,386,386
34005701203,171,171
34005701204,325,325
34005701205,175,175
34005701301,236,236
34005701302,220,220
34005701303,190,190
34005701401,319,319
34005701402,158,158
34005701502,274,274
34005701700,252,252
34005702101,323,323
34005702203,261,261
34005702204,180,180
34005702206,268,268
34005702207,279,279
34005702208,285,285
34005702209,217,217
34005702210,256,256
34005702300,153,153
34005702400,209,209
34005702500,239,239
34005702601,196,196
34005702603,164,164
34005702700,448,448
34005702801,234,234
34005702802,329,329
34005702803,340,340
34005702804,316,316
34005702805,414,414
34005702806,339,339
34005702807,271,271
34005702808,390,390
34005702809,198,198
34005702810,159,159
34005702811,225,225
34005702905,204,204
34005702906,123,123
34005702907,195,195
34005702908,196,196
34005702909,388,388
34005702910,214,214
34005702913,377,377
34005702914,131,131
34005702915,259,259
34005702917,123,123
34005702918,126,126
34005703000,230,230
34005703102,149,149
34005703103,305,305
34005703104,257,257
34005703201,86,86
34005703202,69,69
34005703203,166,166
34005703600,329,329
34005703700,152,152
34005703801,348,348
34005703802,157,157
34005703803,204,204
34005703804,347,347
34005703900,66,66
34005704004,289,289
34005704005,161,161
34005704006,92,92
34005704007,112,112
34005704008,214,214
34005704009,281,281
34005704011,134,134
34005704012,266,266
34005704013,271,271
34005704014,343,343
34005704200,404,404
34005704302,320,320
34005704500,343,343
34005704600,196,196
34005704700,116,116
34005704801,381,381
