GEOID,OA_CntEst_n,OA_PctEst_n,OA_CntEst,OA_PctEst,U_TPopEst,test_pct
34005700102,520,15.9,520,0.188,2761,0.18833755885548714
34005700103,411,15.3,411,0.159,2583,0.15911730545876887
34005700104,261,11.8,261,0.134,1955,0.13350383631713555
34005700200,456,16.6,456,0.167,2736,0.16666666666666666
34005700303,688,18.7,688,0.189,3642,0.18890719384953322
34005700304,383,14.8,383,0.153,2501,0.1531387445021991
34005700305,1048,18.4,1048,0.203,5164,0.2029434546862897
34005700306,430,15.7,430,0.174,2470,0.17408906882591094
34005700307,484,15.1,484,0.176,2754,0.1757443718228032
34005700401,353,13.4,353,0.166,2130,0.16572769953051644
34005700402,584,17.9,584,0.181,3223,0.1811976419484952
34005700403,807,13.7,807,0.178,4522,0.17846085802742148
34005700405,294,13.9,294,0.154,1912,0.15376569037656904
34005700407,503,4.5,503,0.095,5280,0.09526515151515151
34005700408,327,6.6,327,0.169,1936,0.16890495867768596
34005700501,968,13,968,0.171,5659,0.17105495670613183
34005700502,366,16.1,366,0.161,2280,0.16052631578947368
34005700503,624,13.4,624,0.17,3671,0.16998093162625988
34005700504,565,12.7,565,0.19,2977,0.18978837756130332
34005700505,1167,18.7,1167,0.194,6028,0.1935965494359655
34005700602,812,11.6,812,0.131,6222,0.13050466088074575
34005700603,743,8.5,743,0.125,5962,0.12462260986246226
34005700605,716,15.6,716,0.155,4626,0.15477734543882404
34005700701,424,11.1,424,0.137,3095,0.1369951534733441
34005700702,256,6.6,256,0.092,2791,0.09172339663203152
34005700703,138,4.9,138,0.065,2119,0.06512505899008966
34005700800,833,18.2,833,0.185,4513,0.18457788610680256
34005700900,340,13.5,340,0.134,2538,0.13396375098502758
34005701001,895,16.6,895,0.179,4988,0.17943063352044908
34005701002,560,13.1,560,0.146,3847,0.14556797504549
34005701102,793,10.4,793,0.145,5462,0.14518491395093372
34005701103,547,10.4,547,0.087,6312,0.08666032953105196
34005701104,619,9.1,619,0.136,4538,0.1364037020713971
34005701105,882,12.1,882,0.139,6348,0.1389413988657845
34005701201,502,12.8,502,0.154,3268,0.1536107711138311
34005701203,258,12.3,258,0.138,1866,0.1382636655948553
34005701204,450,9.4,450,0.179,2516,0.17885532591414943
34005701205,327,8.3,327,0.149,2200,0.14863636363636365
34005701301,690,10.5,690,0.158,4366,0.15803939532753092
34005701302,384,13,384,0.135,2835,0.13544973544973546
34005701303,1036,19.7,1036,0.191,5437,0.19054625712709214
34005701401,1139,17.5,1139,0.176,6478,0.17582587218277246
34005701402,1370,60.2,1370,0.647,2117,0.6471421823334907
34005701502,766,16.6,766,0.186,4117,0.18605780908428468
34005701700,525,13.2,525,0.136,3874,0.13551884357253485
34005702101,0,0,0,0,4114,0
34005702203,706,19.3,706,0.209,3371,0.20943340255117177
34005702204,324,12.7,324,0.14,2314,0.14001728608470182
34005702206,329,12.2,329,0.159,2074,0.15863066538090645
34005702207,516,12.3,516,0.166,3111,0.16586306653809066
34005702208,875,11,875,0.127,6900,0.12681159420289856
34005702209,279,9.9,279,0.084,3337,0.08360803116571772
34005702210,643,12.4,643,0.141,4561,0.1409778557333918
