GEOID,RM_CntMOE
34005700102,204
34005700103,246
34005700104,224
34005700200,105
34005700303,316
34005700304,115
34005700305,127
34005700306,54
34005700307,81
34005700401,78
34005700402,103
34005700403,203
34005700405,120
34005700407,422
34005700408,216
34005700501,318
34005700502,76
34005700503,171
34005700504,92
34005700505,295
34005700602,309
34005700603,391
34005700605,301
34005700701,279
34005700702,266
34005700703,221
34005700800,203
34005700900,165
34005701001,405
34005701002,274
34005701102,434
34005701103,461
34005701104,426
34005701105,433
34005701201,300
34005701203,151
34005701204,357
34005701205,176
34005701301,259
34005701302,204
34005701303,225
34005701401,548
34005701402,114
34005701502,233
34005701700,191
34005702101,277
34005702203,284
34005702204,203
34005702206,235
34005702207,276
34005702208,353
34005702209,260
34005702210,239
34005702300,122
34005702400,200
34005702500,290
34005702601,207
34005702603,184
34005702700,357
34005702801,176
34005702802,277
34005702803,369
34005702804,229
34005702805,434
34005702806,375
34005702807,300
34005702808,356
34005702809,204
34005702810,131
34005702811,213
34005702905,181
34005702906,93
34005702907,200
34005702908,218
34005702909,354
34005702910,218
34005702913,368
34005702914,82
34005702915,214
34005702917,97
34005702918,140
34005703000,192
34005703102,153
34005703103,253
34005703104,242
34005703201,164
34005703202,67
34005703203,174
34005703600,261
34005703700,231
34005703801,264
34005703802,159
34005703803,247
34005703804,305
34005703900,77
34005704004,290
34005704005,166
34005704006,134
34005704007,125
34005704008,218
34005704009,197
34005704011,178
34005704012,210
34005704013,228
34005704014,303
34005704200,383
34005704302,304
34005704500,281
34005704600,252
34005704700,142
34005704801,348
34005704802,260
34005981802,315
34005982111,142
34007600200,276
34007600400,485
34007600700,273
34007600800,665
34007600900,524
34007601000,662
34007601101,514
34007601102,670
34007601200,732
34007601300,601
34007601400,661
34007601500,728
34007601600,313
34007601700,412
34007601800,331
34007601900,441
34007602000,690
34007602503,393
34007602601,217
34007602602,393
34007602901,291
34007602902,288
34007603001,287
34007603002,480
34007603100,314
34007603200,372
34007603301,307
34007603302,349
34007603303,289
34007603400,675
34007603501,291
34007603503,153
34007603504,108
34007603505,290
34007603506,345
34007603507,344
34007603601,187
34007603602,145
34007603603,94
34007603700,364
34007603800,335
34007603901,125
34007603902,128
34007604100,209
34007604200,301
34007604300,168
34007604400,260
34007604600,142
34007604700,35
34007605100,33
34007605200,301
34007605300,113
34007605400,104
34007605602,103
34007605700,195
34007605800,107
34007605900,148
34007606000,32
34007606100,72
34007606200,118
34007606300,107
34007606400,92
34007606500,88
34007606600,59
34007606700,194
34007606800,238
34007607000,241
34007607100,180
34007607200,431
34007607300,190
34007607401,218
34007607402,206
34007607502,396
34007607503,171
34007607504,181
34007607505,275
34007607506,283
34007607507,413
34007607600,129
34007607701,575
34007607702,305
34007607801,732
34007607802,190
34007607900,57
34007608001,266
34007608202,233
34007608205,153
34007608206,182
34007608209,217
34007608210,454
34007608211,347
34007608302,311
34007608303,172
